Template,Line,Sentence issue,Current [Placeholder],Current sentence,Suggested improvement
ARTICLES_OF_ASSOCIATION_MASTER_EN.md,13,Generic [Date] is used for the adoption date.,[Date],**Adopted on:** **[Date]**,Use [Adoption date].
ARTICLES_OF_ASSOCIATION_MASTER_EN.md,118,The same generic [Date] placeholder is used for both start and end of the financial year.,"[Date], [Date]",The financial year of the Company runs from **[Date]** to **[Date]**.,Use [Financial year start date] and [Financial year end date].
COMMERCIAL_LEASE_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Commercial Lease Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
COMMERCIAL_LEASE_AGREEMENT_MASTER_EN.md,54,Generic [Date] is used for a commencement/start date.,[Date],The lease commences on **[Date]**.,Use [Commencement date].
COMMERCIAL_LEASE_AGREEMENT_MASTER_EN.md,68,"[Number] alone is ambiguous here; it represents number of installments, not a generic number.","[Number], [Currency], [Number]","The annual rent is **[Number] [Currency]**, payable in **[Number]** installments.",Use [Number of installments].
COMMERCIAL_LEASE_AGREEMENT_MASTER_EN.md,72,“No later than [Date] each payment period” is awkward because a full date does not repeat each period.,[Date],Rent shall be paid in advance no later than **[Date]** each payment period.,Use [Payment due day] or rewrite as “no later than day [Number] of each payment period”.
CONSIGNMENT_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Consignment Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
CONSIGNMENT_AGREEMENT_MASTER_EN.md,73,[Number] intervals is incomplete; the interval needs a unit or frequency.,[Number],"The Consignee shall provide written sales reports at **[Number]** intervals, detailing:",Use [Reporting interval] or [Number] [Time unit] intervals.
CONSIGNMENT_AGREEMENT_MASTER_EN.md,87,Slash-separated commission alternatives are hard to interpret in a sentence.,"[Number], [Number], [Currency]","The Consignee shall be entitled to a commission of **[Number]% / [Number] [Currency]** per unit sold, as specified in Schedule 1.",Use [Commission structure] or split into percentage commission and fixed commission fields.
CONSULTING_AGREEMENT_MASTER_EN.md,11,Generic [Date] is used where the sentence defines the Effective Date.,[Date],"This Consulting Agreement (the ""Agreement"") is entered into on **[Date]** (the ""Effective Date"").",Use [Effective date].
CONSULTING_AGREEMENT_MASTER_EN.md,55,"Both alternatives use the same placeholder, so the sentence no longer distinguishes hourly/fixed/project fees.","[Number], [Currency], [Number], [Currency]","The Client shall pay the Consultant **[Number] [Currency]** or **[Number] [Currency]**, as specified in Schedule 1.","Use distinct placeholders such as [Hourly rate] and [Fixed fee], or use one [Fee structure] placeholder."
